comname,season,est_year,weightedLat,weightedLon
acadian redfish,Spring,1970,42.49887718481974,-68.421876866083693
acadian redfish,Spring,1971,42.66877216862459,-68.38884840927159
acadian redfish,Spring,1972,42.22046820781894,-68.81164333141898
acadian redfish,Spring,1973,42.59073869650633,-68.48464776678502
acadian redfish,Spring,1974,42.39706703910663,-68.52829532583866
acadian redfish,Spring,1975,42.233020083545036,-67.15464837862075
acadian redfish,Spring,1976,42.64450773542519,-68.52670471616946
acadian redfish,Spring,1977,42.827343717032306,-69.48066850101456
acadian redfish,Spring,1978,42.66280517678136,-68.7871305653658
acadian redfish,Spring,1979,42.866698899713334,-68.50809376343672
acadian redfish,Spring,1980,42.46871900848865,-68.98072274029741
acadian redfish,Spring,1981,43.43709836378724,-68.15572919592617
acadian redfish,Spring,1982,42.75338699003939,-68.56709488413782
acadian redfish,Spring,1983,42.81254928936461,-68.20129073446692
acadian redfish,Spring,1984,42.63643542917122,-68.85117666910952
acadian redfish,Spring,1985,42.846710886827104,-67.90298929417467
acadian redfish,Spring,1986,43.27064458694875,-67.76872949333942
acadian redfish,Spring,1987,42.69859916986808,-67.5683956964817
acadian redfish,Spring,1988,43.38013674271167,-67.6278640182277
acadian redfish,Spring,1989,42.831707737193355,-68.15134113812526
acadian redfish,Spring,1990,42.94915215430397,-67.63312822227103
acadian redfish,Spring,1991,42.78269292561992,-67.33003399342607
acadian redfish,Spring,1992,43.09812113057677,-68.07536206432646
acadian redfish,Spring,1993,42.742399696295394,-67.97720739927975
acadian redfish,Spring,1994,42.18120887593269,-69.18964213811282
acadian redfish,Spring,1995,43.3881953004747,-67.5189450910383
acadian redfish,Spring,1996,43.13399393907882,-67.54730725708967
acadian redfish,Spring,1997,42.74255366195732,-69.47393878882463
acadian redfish,Spring,1998,42.49302058052039,-68.64838728558207
acadian redfish,Spring,1999,42.688022328917995,-68.33526069721101
acadian redfish,Spring,2000,42.63470804377568,-68.57405588106015
acadian redfish,Spring,2001,42.55539002520805,-68.38247173834
acadian redfish,Spring,2002,42.822029486481526,-68.15347399230768
acadian redfish,Spring,2003,42.737178187105066,-68.92260576423428
acadian redfish,Spring,2004,42.579874021306324,-69.03555067934575
acadian redfish,Spring,2005,42.971209858572784,-68.22609933467758
acadian redfish,Spring,2006,42.87709371899611,-68.23565284029868
acadian redfish,Spring,2007,42.692274726259335,-68.80336225291656
acadian redfish,Spring,2008,42.54685220334727,-68.27058391120964
acadian redfish,Spring,2009,42.70705049107335,-68.23321147550621
acadian redfish,Spring,2010,42.406651262207276,-68.91002602046981
acadian redfish,Spring,2011,43.32704437329786,-68.19667821623679
acadian redfish,Spring,2012,42.834048545279295,-69.11846646700627
acadian redfish,Spring,2013,42.890094124462436,-68.12463858666904
acadian redfish,Spring,2014,42.7373362503335,-68.39871978685888
acadian redfish,Spring,2015,42.82983942796723,-67.94471328897855
acadian redfish,Spring,2016,42.63783884932653,-68.3346033876062
acadian redfish,Spring,2017,43.18012799719199,-68.10109782753156
acadian redfish,Spring,2018,42.692629306544866,-68.27905796711185
acadian redfish,Spring,2019,42.79091708093893,-68.70165762265303
acadian redfish,Fall,1970,43.08958848200998,-68.54775459480638
acadian redfish,Fall,1971,43.07512787917086,-68.40873522346708
acadian redfish,Fall,1972,42.932681354604384,-68.40316418173704
acadian redfish,Fall,1973,42.86781128124074,-68.776324946709
acadian redfish,Fall,1974,42.91534005481592,-68.20967821453891
acadian redfish,Fall,1975,43.14015082632401,-68.26905903853743
acadian redfish,Fall,1976,43.35079744004026,-67.8035999459591
acadian redfish,Fall,1977,42.69990200989383,-69.0426473170319
acadian redfish,Fall,1978,42.73216483808219,-68.66782590539168
acadian redfish,Fall,1979,42.3887922529513,-68.64279097165488
acadian redfish,Fall,1980,42.74049329250779,-68.12376809908676
acadian redfish,Fall,1981,42.816856895069556,-68.32214539827832
acadian redfish,Fall,1982,42.780490484105144,-68.91776782464336
acadian redfish,Fall,1983,42.980362023022806,-69.42999488738067
acadian redfish,Fall,1984,43.11928796613794,-68.26433255701559
acadian redfish,Fall,1985,42.688337608087295,-68.46636772128136
acadian redfish,Fall,1986,42.83108807162803,-68.61925681810553
acadian redfish,Fall,1987,42.97974863753765,-67.99240149990686
acadian redfish,Fall,1988,43.12817778882831,-67.85815154600124
acadian redfish,Fall,1989,42.81207359728284,-67.77517036441007
acadian redfish,Fall,1990,42.58102785811573,-69.08838267536903
acadian redfish,Fall,1991,43.16889227989917,-67.81290556501988
acadian redfish,Fall,1992,42.86792751755929,-67.85907365086501
acadian redfish,Fall,1993,42.81749805771249,-67.85337621624616
acadian redfish,Fall,1994,43.114877564666855,-67.94432168608508
acadian redfish,Fall,1995,42.940474283734176,-69.15825621222709
acadian redfish,Fall,1996,42.71668814888417,-68.65096189592089
acadian redfish,Fall,1997,42.80562757504849,-68.32454471197372
acadian redfish,Fall,1998,42.669212996512975,-68.39788131191891
acadian redfish,Fall,1999,42.69129981101421,-69.3480702794221
acadian redfish,Fall,2000,42.959958475565955,-68.8086700599313
acadian redfish,Fall,2001,42.65826251893207,-68.65960171290058
acadian redfish,Fall,2002,42.990290300168,-68.91100135276824
acadian redfish,Fall,2003,42.53809017406865,-69.34963558848989
acadian redfish,Fall,2004,42.887275438959364,-68.06951810406171
acadian redfish,Fall,2005,42.764260974272666,-68.38113902034779
acadian redfish,Fall,2006,42.585368024722015,-68.85211642844381
acadian redfish,Fall,2007,42.87117701373232,-68.55249085850977
acadian redfish,Fall,2008,42.77768355430744,-68.5448151851928
acadian redfish,Fall,2009,42.857265349022434,-68.6282401059791
acadian redfish,Fall,2010,42.731764118586696,-68.96827597453046
acadian redfish,Fall,2011,43.06083743947802,-68.72738550485742
acadian redfish,Fall,2012,42.61797362429193,-68.8044770300271
acadian redfish,Fall,2013,42.88928149661075,-68.15189624118564
acadian redfish,Fall,2014,42.946996326729106,-68.48701852023123
acadian redfish,Fall,2015,43.09082656788937,-67.94185180876397
acadian redfish,Fall,2016,43.00253359593974,-68.29457567871387
acadian redfish,Fall,2017,42.813464033915096,-68.70688221192107
acadian redfish,Fall,2018,42.62538458219852,-68.34922682751773
acadian redfish,Fall,2019,42.89972316122246,-69.12773928647202
alewife,Spring,1970,39.87768088964696,-72.18621896971605
alewife,Spring,1971,40.237740058719645,-70.61198031928298
alewife,Spring,1972,40.77843045640931,-71.47463695364641
alewife,Spring,1973,40.187877322012,-71.64552256799286
alewife,Spring,1974,40.70106521807638,-71.82478543069065
alewife,Spring,1975,41.01095469958217,-70.73054571484505
alewife,Spring,1976,40.88715381928415,-71.07099667182824
alewife,Spring,1977,40.408728315323664,-70.55460897751237
alewife,Spring,1978,40.28357390451939,-71.05716149019392
alewife,Spring,1979,40.100418712995825,-71.75360222270334
alewife,Spring,1980,39.764406788796144,-72.3547960174184
alewife,Spring,1981,39.81728225075284,-72.17868378461085
alewife,Spring,1982,39.968769370371945,-72.03325798957314
alewife,Spring,1983,39.811289035481934,-72.30298455900565
alewife,Spring,1984,39.26087289088601,-73.53784472910306
alewife,Spring,1985,40.73524843386461,-71.26291287704879
alewife,Spring,1986,40.65653050047969,-71.39038276480908
alewife,Spring,1987,40.662579996642236,-71.34375810720215
alewife,Spring,1988,40.650813116345944,-71.30327235378472
alewife,Spring,1989,40.915428647067166,-70.78197987202998
alewife,Spring,1990,42.0451045431726,-69.14297590333922
alewife,Spring,1991,40.2552595312544,-71.8491991793423
alewife,Spring,1992,40.85128219517325,-70.36264146023687
alewife,Spring,1993,40.186043587854684,-71.95832838474193
alewife,Spring,1994,41.16811632941097,-70.00376679107714
alewife,Spring,1995,41.21854464256635,-70.37074993650522
alewife,Spring,1996,40.740859529690255,-70.97240381590655
alewife,Spring,1997,40.8150974833549,-70.94619420270588
alewife,Spring,1998,41.46717486534247,-70.41567666691053
alewife,Spring,1999,40.502466545464785,-70.4496608238833
alewife,Spring,2000,42.540259533324225,-69.997708955168
alewife,Spring,2001,41.08516749071061,-69.98084497702042
alewife,Spring,2002,41.60481370376843,-69.79879858346958
alewife,Spring,2003,41.07411058822366,-70.4816870277228
alewife,Spring,2004,41.12099389924604,-71.06953448633449
alewife,Spring,2005,40.71443020237722,-71.37412132353067
alewife,Spring,2006,42.22545479572136,-70.08794670745961
alewife,Spring,2007,41.5699792627799,-70.17370095797585
alewife,Spring,2008,41.541839301528,-70.59266137990782
alewife,Spring,2009,41.727305608943716,-69.72046623565798
alewife,Spring,2010,42.94493937603772,-68.2057047093075
alewife,Spring,2011,42.231992592178926,-69.6285419675324
alewife,Spring,2012,42.661265617863464,-69.50465985105305
alewife,Spring,2013,42.589514401472,-69.03634043499567
alewife,Spring,2014,41.76897248781798,-70.4491996896596
alewife,Spring,2015,42.065219905827085,-69.18753074313153
alewife,Spring,2016,42.4301205463509,-70.03012532279361
alewife,Spring,2017,42.06648170968921,-69.24649105247701
alewife,Spring,2018,42.10212903125755,-69.3676227305548
alewife,Spring,2019,42.201926490123824,-69.3145913830351
alewife,Fall,1970,41.902034192247896,-68.4462252782657
alewife,Fall,1971,43.485668641842494,-68.49967581310827
alewife,Fall,1972,43.141816285009085,-68.376252490871
alewife,Fall,1973,43.13591421459813,-67.3000973581918
alewife,Fall,1974,43.41983990416593,-69.46628295411028
alewife,Fall,1975,42.748593897172654,-69.34109565119772
alewife,Fall,1976,43.7493869024021,-68.43681588370688
alewife,Fall,1977,42.48031006658131,-69.78614292573624
alewife,Fall,1978,43.305587022082015,-69.53268312053794
alewife,Fall,1979,42.052262877507935,-69.79457183203913
alewife,Fall,1980,42.218063024062154,-70.55495889130253
alewife,Fall,1981,42.4069441577882,-70.13521989618549
alewife,Fall,1982,42.94501707467993,-69.97604963719802
alewife,Fall,1983,42.49825375952381,-67.65265882619047
alewife,Fall,1984,43.23822029320388,-68.82805839029128
alewife,Fall,1985,42.261938624222594,-70.3286563793486
alewife,Fall,1986,43.177082499190234,-67.9552843383328
alewife,Fall,1987,43.0330121032035,-68.51624320971028
alewife,Fall,1988,43.9459960997398,-68.09296038421509
alewife,Fall,1989,43.589320645631076,-68.26391600485437
alewife,Fall,1990,43.9213893988006,-67.58973027286356
alewife,Fall,1991,43.79677175662251,-68.30187664072848
alewife,Fall,1992,43.5660559657855,-67.16860680824968
alewife,Fall,1993,43.97724898252427,-67.77058261359223
alewife,Fall,1994,41.105056124733295,-70.0206123700043
alewife,Fall,1995,43.37569808385954,-68.56705213378899
alewife,Fall,1996,41.31990761666666,-68.43337954722223
alewife,Fall,1997,43.148037081330344,-68.73989869639954
alewife,Fall,1998,42.556573420412185,-68.94842349033267
alewife,Fall,1999,43.41826602294513,-68.10437598334346
alewife,Fall,2000,43.306753840706286,-68.77772715879439
alewife,Fall,2001,42.50240922905102,-67.95942147802913
alewife,Fall,2002,43.60690111771055,-68.15695743498937
alewife,Fall,2003,43.17255386278456,-69.48393204626771
alewife,Fall,2004,43.32436660379797,-69.12533728934432
alewife,Fall,2005,43.90210999933817,-67.95724646438488
alewife,Fall,2006,43.70350137348644,-68.64812959638348
alewife,Fall,2007,43.59125432044325,-68.498362785967
alewife,Fall,2008,43.215363957944994,-69.2896495502759
alewife,Fall,2009,43.46121029649743,-68.65981107929409
alewife,Fall,2010,42.881331517652455,-69.4008740243703
alewife,Fall,2011,43.40765543615242,-68.78721296015345
alewife,Fall,2012,43.46299418698898,-68.5591945640144
alewife,Fall,2013,43.60678507309904,-68.16991354594471
alewife,Fall,2014,43.22933303130131,-69.03820700061397
alewife,Fall,2015,43.469500107160805,-68.64235273316173
alewife,Fall,2016,43.347995365175734,-68.73857243941814
alewife,Fall,2017,42.897536696220186,-69.90336165224684
alewife,Fall,2018,42.60968792511405,-70.10243985411242
alewife,Fall,2019,42.34892384485117,-70.21264660112355
american plaice,Spring,1970,42.72428531920629,-69.37182387322025
american plaice,Spring,1971,42.780646276351426,-68.17775690565836
american plaice,Spring,1972,42.5505933725736,-69.01581852985419
american plaice,Spring,1973,42.91842030384636,-69.1445145802536
american plaice,Spring,1974,42.58958175444673,-69.53210257339136
american plaice,Spring,1975,42.43978891667842,-69.97303493702049
american plaice,Spring,1976,42.87774805292088,-69.56750288557994
american plaice,Spring,1977,43.20477580364642,-69.2112240547642
american plaice,Spring,1978,43.056987114518655,-69.16999037244052
american plaice,Spring,1979,43.198248046265455,-69.5401090722698
american plaice,Spring,1980,42.76986279740439,-69.7626311189579
american plaice,Spring,1981,43.165747819370566,-69.13623882633155
american plaice,Spring,1982,42.564255486492854,-69.62360988290031
american plaice,Spring,1983,42.64034449282929,-69.92968728242909
american plaice,Spring,1984,42.69587604664622,-69.43343376868894
american plaice,Spring,1985,42.67933458488271,-69.19684842158992
american plaice,Spring,1986,42.57939044111076,-69.5538624645602
american plaice,Spring,1987,42.81686996159145,-69.33130041728788
american plaice,Spring,1988,42.84621017946173,-69.36012667719237
american plaice,Spring,1989,42.72356967465301,-69.48506007870688
american plaice,Spring,1990,42.63881115050308,-69.62733570690516
