"","comname","est_year","season","COGy","COGx"
"1","acadian redfish",1970,"Spring",42.4988771848196,-68.4218768660839
"2","acadian redfish",1970,"Fall",43.0895884820101,-68.5477545948069
"3","acadian redfish",1971,"Spring",42.6687721686244,-68.3888484092712
"4","acadian redfish",1971,"Fall",43.075127879171,-68.4087352234672
"5","acadian redfish",1972,"Spring",42.2204682078186,-68.8116433314188
"6","acadian redfish",1972,"Fall",42.9326813546042,-68.403164181737
"7","acadian redfish",1973,"Spring",42.5907386965063,-68.4846477667852
"8","acadian redfish",1973,"Fall",42.8678112812407,-68.776324946709
"9","acadian redfish",1974,"Spring",42.3970670391066,-68.528295325839
"10","acadian redfish",1974,"Fall",42.9153400548158,-68.2096782145388
"11","acadian redfish",1975,"Spring",42.233020083545,-67.1546483786204
"12","acadian redfish",1975,"Fall",43.1401508263241,-68.2690590385376
"13","acadian redfish",1976,"Spring",42.6445077354252,-68.5267047161694
"14","acadian redfish",1976,"Fall",43.3507974400402,-67.8035999459589
"15","acadian redfish",1977,"Spring",42.8273437170323,-69.4806685010145
"16","acadian redfish",1977,"Fall",42.6999020098939,-69.0426473170318
"17","acadian redfish",1978,"Spring",42.6628051767813,-68.7871305653656
"18","acadian redfish",1978,"Fall",42.7321648380823,-68.6678259053914
"19","acadian redfish",1979,"Spring",42.8666988997134,-68.5080937634367
"20","acadian redfish",1979,"Fall",42.3887922529516,-68.6427909716548
"21","acadian redfish",1980,"Spring",42.4687190084885,-68.9807227402972
"22","acadian redfish",1980,"Fall",42.7404932925078,-68.1237680990869
"23","acadian redfish",1981,"Spring",43.4370983637874,-68.1557291959262
"24","acadian redfish",1981,"Fall",42.8168568950695,-68.322145398278
"25","acadian redfish",1982,"Spring",42.7533869900394,-68.5670948841378
"26","acadian redfish",1982,"Fall",42.7804904841053,-68.9177678246434
"27","acadian redfish",1983,"Spring",42.8125492893647,-68.201290734467
"28","acadian redfish",1983,"Fall",42.9803620230228,-69.4299948873808
"29","acadian redfish",1984,"Spring",42.6364354291712,-68.8511766691095
"30","acadian redfish",1984,"Fall",43.1192879661381,-68.2643325570156
"31","acadian redfish",1985,"Spring",42.8467108868272,-67.9029892941747
"32","acadian redfish",1985,"Fall",42.6883376080872,-68.4663677212812
"33","acadian redfish",1986,"Spring",43.2706445869487,-67.7687294933394
"34","acadian redfish",1986,"Fall",42.831088071628,-68.6192568181055
"35","acadian redfish",1987,"Spring",42.698599169868,-67.5683956964818
"36","acadian redfish",1987,"Fall",42.9797486375375,-67.992401499907
"37","acadian redfish",1988,"Spring",43.3801367427117,-67.6278640182279
"38","acadian redfish",1988,"Fall",43.1281777888282,-67.8581515460013
"39","acadian redfish",1989,"Spring",42.8317077371935,-68.1513411381253
"40","acadian redfish",1989,"Fall",42.8120735972829,-67.7751703644101
"41","acadian redfish",1990,"Spring",42.9491521543039,-67.633128222271
"42","acadian redfish",1990,"Fall",42.5810278581156,-69.0883826753692
"43","acadian redfish",1991,"Spring",42.7826929256198,-67.3300339934259
"44","acadian redfish",1991,"Fall",43.1688922798992,-67.8129055650201
"45","acadian redfish",1992,"Spring",43.0981211305768,-68.0753620643265
"46","acadian redfish",1992,"Fall",42.8679275175593,-67.8590736508647
"47","acadian redfish",1993,"Spring",42.7423996962957,-67.97720739928
