"Common Name","Year","Center of Latitude","Center of Longitude","Slope (lat)","Slope (lon)"
"acadian redfish",1970,42.8817110066627,-68.5034569073,0.00111571950452749,-0.00262500145326667
"acadian redfish",1971,42.7875821137433,-68.3946628994875,0.00111571950452749,-0.00262500145326667
"acadian redfish",1972,42.4418366268857,-68.6846808006165,0.00111571950452749,-0.00262500145326667
"acadian redfish",1973,42.7136136199288,-68.6139994714353,0.00111571950452749,-0.00262500145326667
"acadian redfish",1974,42.7143219757051,-68.3332574821148,0.00111571950452749,-0.00262500145326667
"acadian redfish",1975,42.7154656076133,-67.7473329934137,0.00111571950452749,-0.00262500145326667
"acadian redfish",1976,42.8501712814459,-68.3161448138883,0.00111571950452749,-0.00262500145326667
"acadian redfish",1977,42.7562251978324,-69.2362318979395,0.00111571950452749,-0.00262500145326667
"acadian redfish",1978,42.7193811982368,-68.6898148796218,0.00111571950452749,-0.00262500145326667
"acadian redfish",1979,42.6145837377355,-68.5791520102677,0.00111571950452749,-0.00262500145326667
"acadian redfish",1980,42.5883837706351,-68.6033975872537,0.00111571950452749,-0.00262500145326667
"acadian redfish",1981,43.1694994451232,-68.2275283226274,0.00111571950452749,-0.00262500145326667
"acadian redfish",1982,42.7613344447585,-68.6699213798352,0.00111571950452749,-0.00262500145326667
"acadian redfish",1983,42.8907900844024,-68.7741601925503,0.00111571950452749,-0.00262500145326667
"acadian redfish",1984,42.9799195593594,-68.4337166291044,0.00111571950452749,-0.00262500145326667
"acadian redfish",1985,42.7719528157549,-68.1689248410633,0.00111571950452749,-0.00262500145326667
"acadian redfish",1986,42.9635271066029,-68.3629916640567,0.00111571950452749,-0.00262500145326667
"acadian redfish",1987,42.7982927629281,-67.718745125816,0.00111571950452749,-0.00262500145326667
"acadian redfish",1988,43.25211351024,-67.7448757506908,0.00111571950452749,-0.00262500145326667
"acadian redfish",1989,42.8175315286849,-67.8797389519711,0.00111571950452749,-0.00262500145326667
"acadian redfish",1990,42.6915789879155,-68.6513563079106,0.00111571950452749,-0.00262500145326667
"acadian redfish",1991,43.0296795714097,-67.6388455657234,0.00111571950452749,-0.00262500145326667
"acadian redfish",1992,43.0314034885805,-68.0126746042007,0.00111571950452749,-0.00262500145326667
"acadian redfish",1993,42.7781055157729,-67.9183313627911,0.00111571950452749,-0.00262500145326667
"acadian redfish",1994,42.7954477240384,-68.3703748656794,0.00111571950452749,-0.00262500145326667
"acadian redfish",1995,43.1711918042977,-68.3134939983232,0.00111571950452749,-0.00262500145326667
"acadian redfish",1996,42.8591288237183,-68.2742469898914,0.00111571950452749,-0.00262500145326667
"acadian redfish",1997,42.7593119399454,-69.1685531783017,0.00111571950452749,-0.00262500145326667
"acadian redfish",1998,42.6271478487455,-68.457688487724,0.00111571950452749,-0.00262500145326667
"acadian redfish",1999,42.6904208896413,-69.0764654430776,0.00111571950452749,-0.00262500145326667
"acadian redfish",2000,42.7326743178216,-68.6447222805352,0.00111571950452749,-0.00262500145326667
"acadian redfish",2001,42.5995165531793,-68.5013449485789,0.00111571950452749,-0.00262500145326667
"acadian redfish",2002,42.9028055432909,-68.5171360462523,0.00111571950452749,-0.00262500145326667
"acadian redfish",2003,42.5912937854759,-69.2355175736358,0.00111571950452749,-0.00262500145326667
"acadian redfish",2004,42.7075378720673,-68.6343572188119,0.00111571950452749,-0.00262500145326667
"acadian redfish",2005,42.8726484836857,-68.2999384598958,0.00111571950452749,-0.00262500145326667
"acadian redfish",2006,42.6331095386953,-68.7512308856722,0.00111571950452749,-0.00262500145326667
"acadian redfish",2007,42.8088033712147,-68.6399562726962,0.00111571950452749,-0.00262500145326667
"acadian redfish",2008,42.6898445267606,-68.4404610394955,0.00111571950452749,-0.00262500145326667
"acadian redfish",2009,42.812171566266,-68.5096543982236,0.00111571950452749,-0.00262500145326667
"acadian redfish",2010,42.6279623379938,-68.9496779743824,0.00111571950452749,-0.00262500145326667
"acadian redfish",2011,43.2046133779209,-68.4407553357446,0.00111571950452749,-0.00262500145326667
"acadian redfish",2012,42.6875834680262,-68.9056306277813,0.00111571950452749,-0.00262500145326667
"acadian redfish",2013,42.8896582974108,-68.1392573610482,0.00111571950452749,-0.00262500145326667
"acadian redfish",2014,42.8348057864425,-68.4397692643216,0.00111571950452749,-0.00262500145326667
"acadian redfish",2015,43.0103559216555,-67.9427340942368,0.00111571950452749,-0.00262500145326667
"acadian redfish",2016,42.8006801111291,-68.3167304604978,0.00111571950452749,-0.00262500145326667
"acadian redfish",2017,43.0646700252649,-68.2918518787918,0.00111571950452749,-0.00262500145326667
"acadian redfish",2018,42.6348695845491,-68.3393293699492,0.00111571950452749,-0.00262500145326667
"acadian redfish",2019,42.8569755983081,-68.9603409877443,0.00111571950452749,-0.00262500145326667
"alewife",1970,40.0291530303402,-71.9063741175868,0.0524475557651283,0.0507407048895554
"alewife",1971,40.5023805225531,-70.4398702405159,0.0524475557651283,0.0507407048895554
"alewife",1972,41.2956939576346,-70.796507646124,0.0524475557651283,0.0507407048895554
"alewife",1973,40.2473931526108,-71.5577958535439,0.0524475557651283,0.0507407048895554
"alewife",1974,40.7198491354633,-71.8084906211562,0.0524475557651283,0.0507407048895554
"alewife",1975,41.3185254192997,-70.4846061914503,0.0524475557651283,0.0507407048895554
"alewife",1976,41.2466655901877,-70.7401294878791,0.0524475557651283,0.0507407048895554
"alewife",1977,40.5433082106676,-70.5046857337107,0.0524475557651283,0.0507407048895554
"alewife",1978,40.6169325934775,-70.8889960683764,0.0524475557651283,0.0507407048895554
"alewife",1979,40.4338109426129,-71.4189825221624,0.0524475557651283,0.0507407048895554
"alewife",1980,40.2065933754613,-72.0304376888509,0.0524475557651283,0.0507407048895554
"alewife",1981,39.9219602108303,-72.0960839553624,0.0524475557651283,0.0507407048895554
"alewife",1982,40.1374166944541,-71.9166874893404,0.0524475557651283,0.0507407048895554
"alewife",1983,40.050535265365,-71.8889214753523,0.0524475557651283,0.0507407048895554
"alewife",1984,39.5101526060371,-73.2426595018137,0.0524475557651283,0.0507407048895554
"alewife",1985,41.3784083049886,-70.8693318529141,0.0524475557651283,0.0507407048895554
"alewife",1986,40.9143116231615,-71.0390694297332,0.0524475557651283,0.0507407048895554
"alewife",1987,40.8678528011546,-71.098903208721,0.0524475557651283,0.0507407048895554
"alewife",1988,41.0609321026134,-70.9037164270888,0.0524475557651283,0.0507407048895554
"alewife",1989,40.9980101065185,-70.7042110656407,0.0524475557651283,0.0507407048895554
"alewife",1990,42.2092114737019,-69.0071231984521,0.0524475557651283,0.0507407048895554
"alewife",1991,40.3700350639649,-71.7342353423837,0.0524475557651283,0.0507407048895554
"alewife",1992,40.9410479948529,-70.2570285808714,0.0524475557651283,0.0507407048895554
"alewife",1993,40.3602714552823,-71.765877188069,0.0524475557651283,0.0507407048895554
"alewife",1994,41.1477827761164,-70.0091985919831,0.0524475557651283,0.0507407048895554
"alewife",1995,41.5039589136672,-70.1321015938357,0.0524475557651283,0.0507407048895554
"alewife",1996,40.7581173368302,-70.8967313594415,0.0524475557651283,0.0507407048895554
"alewife",1997,40.8958057392515,-70.869867210588,0.0524475557651283,0.0507407048895554
"alewife",1998,41.7168428927011,-70.0794120330653,0.0524475557651283,0.0507407048895554
"alewife",1999,40.6281054465421,-70.3486048314,0.0524475557651283,0.0507407048895554
"alewife",2000,42.6682675343234,-69.7939665013688,0.0524475557651283,0.0507407048895554
"alewife",2001,41.2308999241613,-69.7729856136015,0.0524475557651283,0.0507407048895554
"alewife",2002,42.5551870583797,-69.0194309748654,0.0524475557651283,0.0507407048895554
"alewife",2003,41.4128744698402,-70.3206136479857,0.0524475557651283,0.0507407048895554
"alewife",2004,41.5780828714902,-70.6662113913461,0.0524475557651283,0.0507407048895554
"alewife",2005,41.3833369738293,-70.6571199695472,0.0524475557651283,0.0507407048895554
"alewife",2006,42.868454795279,-69.461577812384,0.0524475557651283,0.0507407048895554
"alewife",2007,41.939048700879,-69.8677969616712,0.0524475557651283,0.0507407048895554
"alewife",2008,42.0661399121272,-70.1844391913226,0.0524475557651283,0.0507407048895554
"alewife",2009,41.8448473455235,-69.648564215964,0.0524475557651283,0.0507407048895554
"alewife",2010,42.9223503339832,-68.6301448744908,0.0524475557651283,0.0507407048895554
"alewife",2011,42.6969426066731,-69.2958139782279,0.0524475557651283,0.0507407048895554
"alewife",2012,42.9075429403505,-69.2142290639226,0.0524475557651283,0.0507407048895554
"alewife",2013,43.0614053045894,-68.6344228543923,0.0524475557651283,0.0507407048895554
"alewife",2014,42.8728088715075,-69.3826787717678,0.0524475557651283,0.0507407048895554
"alewife",2015,42.5599590317868,-68.9954601778065,0.0524475557651283,0.0507407048895554
"alewife",2016,42.7209137020248,-69.6209467169821,0.0524475557651283,0.0507407048895554
"alewife",2017,42.389824105679,-69.5020627258646,0.0524475557651283,0.0507407048895554
"alewife",2018,42.3286800415486,-69.6956113910552,0.0524475557651283,0.0507407048895554
"alewife",2019,42.2693934508038,-69.7267692497695,0.0524475557651283,0.0507407048895554
"american plaice",1970,42.7619382139197,-69.0688303522428,0.000371519792720055,-0.00633974052529601
