comname,depth_slope,bt_slope,surf_slope,lat_slope,lon_slope,depth_p,bt_p,surf_p,lat_p,lon_p,num_obs
acadian redfish,-0.01105909,0.009726176,0.04697927,0.0006330172,-0.002527277,0.9155682,0.1183831,0.03957377,0.7130436,0.4549394,100
alewife,1.111731,-0.01146113,0.04107931,0.02815935,0.02446624,2.491852e-09,0.3165254,0.06175508,0.001094897,0.007804807,100
american lobster,-0.5461792,-0.04502834,-0.05243371,0.07468703,0.06704283,0.1458679,0.01541517,0.1101915,1.928755e-27,2.653229e-17,94
american plaice,0.3922826,0.008517897,0.05463997,0.00104738,-0.006933166,0.001902053,0.4175181,0.01047943,0.4419297,0.003116792,100
american shad,0.7444851,-0.0177026,0.006574881,0.03213778,0.03888494,0.001908914,0.2019176,0.8303126,2.257841e-05,1.098748e-05,100
atlantic cod,0.02308716,0.01535449,0.04584953,0.007433356,-0.002329377,0.8484781,0.302607,0.06723032,6.91421e-05,0.6809883,100
atlantic croaker,0.1681496,-0.01007707,-0.01238043,0.01683705,0.004291568,0.4302501,0.8061619,0.7911161,0.07326219,0.4745612,52
atlantic hagfish,-0.3782623,0.009462542,0.01867773,0.02171954,0.02981242,0.3699868,0.3632926,0.5250433,0.03083056,0.004167968,98
atlantic halibut,0.6052694,0.02030294,0.01532858,0.02802275,0.02290941,0.007216502,0.1909086,0.5441871,1.272232e-07,6.729387e-05,94
atlantic herring,0.4610659,0.02074876,0.0471556,-0.004648533,0.00399722,0.07773777,0.06794457,0.06538027,0.4789236,0.6538626,100
atlantic mackerel,-0.7675391,-0.03036169,-0.008934089,0.02558708,0.03125808,0.0001404099,0.06603937,0.7512255,0.005657361,0.02721505,100
atlantic rock crab,-0.438972,0.00596845,-0.0085176,0.03927508,0.07479726,0.2746755,0.8028662,0.8583563,0.0001172366,2.161166e-08,99
atlantic wolffish,0.5118936,0.002394146,0.04757657,0.004367393,-0.005424919,0.006971564,0.8462232,0.05247276,0.1495419,0.4119047,98
barndoor skate,1.36043,0.07239301,0.0722777,-0.007989209,-0.0197384,0.01043549,2.050219e-05,0.03865847,0.0543894,0.01971556,78
black sea bass,-0.07601233,0.004213589,-0.02919371,0.05564238,0.0444735,0.7602452,0.8700405,0.5241771,1.371462e-12,2.64494e-09,100
blackbelly rosefish,-0.614893,-0.01798678,-0.1082627,0.0713129,0.1043911,0.002424917,0.1006589,0.004994126,1.038255e-15,7.634763e-15,100
bluefish,0.3299245,0.009173702,-0.01838396,-0.0003875473,-0.01428128,0.3182747,0.6487152,0.5516567,0.9811325,0.4554708,84
butterfish,-0.03155767,0.006872756,0.009275441,0.008743555,0.0144691,0.8769735,0.5031852,0.8300262,0.2041318,0.07236723,100
clearnose skate,0.03101288,0.01089854,-0.008417989,0.003297026,0.002174379,0.8670929,0.7651491,0.8674026,0.6208341,0.3904173,93
cusk,0.3607585,0.03094171,0.0415655,-0.007218415,0.01838492,0.03653427,7.661509e-06,0.1072594,0.000522078,7.850756e-06,99
fourspot flounder,0.7982907,0.01469697,0.04073266,0.003204116,0.02548684,7.288075e-05,0.1573447,0.3186571,0.1118285,1.66951e-07,100
goosefish,0.5590022,0.006732787,0.01875651,0.02248538,0.03095532,0.09073849,0.3890496,0.5344176,0.001569889,3.198331e-05,100
haddock,-0.07510514,0.0229299,0.04998688,-0.002895204,-0.004049836,0.7251057,0.08855965,0.07643232,0.1558982,0.328228,100
horseshoe crab,0.3517107,-0.0035417,0.02570512,0.008648863,0.002256493,0.2738049,0.9391517,0.6907015,0.3847976,0.5878055,59
little skate,0.0268861,0.02160021,0.05346178,-0.004857961,-0.01505389,0.5551607,0.4366772,0.1721156,0.01062202,0.02526662,100
longfin squid,0.1938813,0.01240414,0.03550398,0.0003121911,0.006275183,0.3753909,0.1458095,0.351756,0.9513365,0.313537,100
longhorn sculpin,-0.03850514,0.004660041,0.04045404,0.01060541,-0.01391581,0.6376178,0.798927,0.1692195,8.536034e-10,0.003553262,100
northern kingfish,0.6768836,0.05822496,0.04914317,-0.03476344,-0.03166609,0.1190265,0.3914005,0.5542522,0.08982835,0.0693767,26
northern sand lance,0.4805181,-0.005352668,0.04194979,0.01013578,0.01050738,0.007725781,0.8525868,0.296174,0.226561,0.464814,99
northern shortfin squid,-0.01870839,0.03362426,0.06605925,-0.01373913,-0.009993562,0.9309073,0.0003285949,0.08691934,0.121911,0.3644178,100
ocean pout,0.8787738,0.01362758,0.04981624,0.01171859,0.02648907,7.876526e-06,0.4102117,0.115159,0.0003294444,0.0006476432,100
offshore hake,-0.2392264,0.02522332,0.06862585,-0.02767543,-0.03856554,0.3263524,0.01243769,0.1543242,0.0001946982,0.0004968498,97
pollock,0.7260111,0.02734713,0.04459685,0.00809663,-0.002010264,0.003665944,0.003602062,0.0724243,0.002883593,0.7868718,100
red hake,1.335771,-0.006691736,0.01180915,0.02680616,0.0372753,5.971299e-11,0.503576,0.6890823,1.181921e-15,1.756887e-13,100
rosette skate,-0.2145611,0.008294883,0.03068832,0.0123757,0.01591768,0.5010948,0.4702806,0.5257323,0.03165295,0.01491333,92
