"","comname","welch_lat_p","welch_lon_p","welch_sst_p","welch_bt_p","welch_depth_p"
"1","acadian redfish",0.443,0.629,0.001,0,0.328
"2","alewife",0,0.002,0.006,0.641,0
"3","american lobster",0,0,0.628,0.033,0.072
"4","american plaice",0.002,0.004,0,0.004,0.001
"5","american shad",0.168,0.265,0.03,0.021,0.059
"6","atlantic cod",0.002,0.182,0.001,0,0.682
"7","atlantic halibut",0.241,0.688,0.005,0.193,0.1
"8","atlantic herring",0.063,0.012,0.016,0.016,0.086
"9","atlantic mackerel",0,0.009,0.445,0.694,0.706
"10","atlantic rock crab",0.59,0.085,0.067,0.235,0.613
"11","atlantic wolffish",0.139,0.164,0.001,0.027,0.086
"12","black sea bass",0,0,0.064,0.583,0.255
"13","blackbelly rosefish",0,0,0.004,0.026,0
"14","bluefish",0.651,0.019,0.416,0.664,0.144
"15","butterfish",0.912,0.652,0.035,0.038,0.034
"16","clearnose skate",0.129,0.074,0.942,0.895,0.064
"17","cusk",0.024,0.002,0.001,0,0.246
"18","fourspot flounder",0.715,0.036,0.009,0.001,0
"19","goosefish",0.152,0.058,0.003,0,0.002
"20","haddock",0.088,0.012,0,0,0.385
"21","little skate",0,0.017,0,0.003,0.142
"22","longfin squid",0.719,0.206,0.049,0,0
"23","longhorn sculpin",0,0.112,0.003,0,0.31
"24","northern sand lance",0.708,0.887,0.01,0.412,0.026
"25","northern shortfin squid",0.205,0.782,0.012,0,0.002
"26","ocean pout",0.082,0.08,0.001,0,0.004
"27","offshore hake",0.024,0.07,0.139,0,0.55
"28","pollock",0.002,0.663,0.001,0.001,0.324
"29","red hake",0.034,0,0.007,0.006,0
"30","rosette skate",0.025,0.035,0.593,0.061,0.009
"31","scup",0.003,0.001,0.797,0.52,0.113
"32","sea raven",0.009,0.001,0.007,0,0.001
"33","sea scallop",0.039,0.007,0.171,0.131,0.616
"34","silver hake",0,0,0.027,0.071,0.014
"35","smooth dogfish",0.002,0.002,0.965,0.41,0.034
"36","smooth skate",0.043,0.079,0.003,0,0.003
"37","spiny dogfish",0.165,0.363,0,0.003,0.016
"38","spotted hake",0.05,0.039,0.462,0.025,0.001
"39","summer flounder",0,0.004,0.12,0.08,0
"40","thorny skate",0.073,0.769,0,0,0.174
"41","white hake",0.003,0.01,0.003,0,0.22
"42","windowpane",0.002,0.004,0,0.001,0.149
"43","winter flounder",0.003,0.071,0.014,0.003,0.002
"44","winter skate",0,0.208,0.001,0,0.013
"45","witch flounder",0.025,0.782,0,0,0
"46","yellowtail flounder",0,0.758,0.021,0.024,0.283
