comname,depth_slope,bt_slope,surf_slope,lat_slope,lon_slope,depth_p,bt_p,surf_p,lat_p,lon_p
acadian redfish,0.8677301,-0.009781627,-0.02561565,0.0002684475,0.02688651,0.130707,0.8792681,0.9335798,0.9823477,0.3225795
alewife,2.787207,-0.04368387,-0.1903312,0.02189866,-0.02747663,0.007661903,0.7518386,0.4753293,0.7988974,0.7359946
american lobster,6.075682,-0.05821094,-0.06916594,-0.08306904,0.1460546,0.1823306,0.7692232,0.8296732,0.02533105,0.001016961
american plaice,-0.708928,-0.01632988,-0.1065759,0.01216087,0.003981324,0.5533402,0.8959469,0.6923658,0.5065405,0.9067351
american shad,3.093065,-0.1614317,-0.340461,0.1043393,0.0837385,0.1328555,0.2546742,0.2749532,0.253104,0.3806553
atlantic cod,-4.172637,-0.02133767,0.04531798,-0.01916575,-0.04070157,0.001876513,0.9039174,0.8792857,0.4258727,0.5075721
atlantic croaker,0.1276695,0.3335073,-0.2079035,-0.06456641,-0.008682539,0.7678853,0.3326908,0.2267193,0.447475,0.6278539
atlantic hagfish,5.095396,0.02960587,0.154756,-0.02386743,-0.07035409,0.2095522,0.7422753,0.7127054,0.8219435,0.5428876
atlantic halibut,1.298127,0.02603135,-0.09721918,-0.02462888,0.05287407,0.5147112,0.8926916,0.7457421,0.406254,0.332429
atlantic herring,-1.700805,0.06047857,-0.09868713,-0.08371761,-0.1248282,0.6087724,0.5924553,0.7613482,0.270042,0.2923807
atlantic mackerel,0.3123737,0.1243672,-0.3373138,-0.0004698799,-0.02527958,0.8211139,0.5427036,0.3678049,0.9962152,0.8926317
atlantic rock crab,0.8826806,0.07251957,-0.051665,-0.02919438,0.08456166,0.7148788,0.8141838,0.928072,0.7885292,0.5839187
atlantic wolffish,-1.500385,-0.04629423,-0.248491,-0.001174058,0.07121018,0.5062291,0.7320605,0.4034592,0.9634017,0.5006885
barndoor skate,6.14631,-0.1542157,-0.1342907,0.01681559,0.07746622,0.3528099,0.261595,0.7398067,0.6662155,0.1808978
black sea bass,0.7758171,0.01327449,-0.2535886,0.08046373,0.04644737,0.7649564,0.9710532,0.6524307,0.3353432,0.596986
blackbelly rosefish,-4.103211,-0.0694189,-0.1497151,0.01473689,0.0610945,0.07139215,0.2062638,0.7073667,0.8419333,0.5746892
bluefish,1.55967,0.09019568,-0.08583703,0.1267614,0.1496929,0.535188,0.7465165,0.8311895,0.4733344,0.473188
butterfish,2.215518,-0.1511983,-0.1337195,-0.03674616,-0.0719954,0.2735678,0.2214498,0.8003824,0.6394547,0.4391524
clearnose skate,-0.02631457,0.06255582,-0.23973,-0.01531073,-0.008303341,0.9847971,0.8755549,0.6888678,0.8198217,0.6053342
cusk,2.318923,-0.03118135,-0.2165914,-0.02675317,0.06162556,0.3864307,0.6267161,0.5525703,0.3320125,0.2855796
fourspot flounder,2.973874,0.0168308,-0.1010096,-0.01013829,0.02915146,0.238741,0.8747909,0.8515508,0.6163169,0.6209026
goosefish,2.156324,0.03211174,0.1148472,-0.1336956,-0.06926361,0.5579101,0.7032859,0.7751093,0.01793543,0.2403792
haddock,0.3832208,-0.08269042,-0.1652107,-0.01348476,0.09888498,0.8718115,0.5875278,0.6755208,0.4360819,0.0004123965
horseshoe crab,-5.666327,0.02876445,-0.9385558,0.1214532,-0.03213991,0.02589322,0.9791922,0.5262735,0.316295,0.4467571
little skate,0.3115975,0.03214149,-0.1504398,2.21334e-05,0.02643348,0.4724553,0.9204183,0.7712445,0.9991365,0.7224718
longfin squid,0.7134994,-0.04498303,-0.1834393,-0.0221812,-0.01228601,0.7571242,0.7023789,0.695077,0.746326,0.8640566
longhorn sculpin,-1.082877,-0.10517,-0.1154391,0.00764493,-0.03826579,0.1740393,0.6326472,0.7661806,0.5512206,0.3419051
northern kingfish,-7.296916,2.208492,2.48331,-0.09080087,-0.3419152,0.5264368,0.3949013,0.4206341,0.3092652,0.3804229
northern sand lance,-1.581229,-0.1564749,-0.06620034,0.07478841,-0.0666805,0.1976508,0.6419481,0.8858062,0.4945718,0.6665886
northern shortfin squid,0.2975732,-0.08712956,-0.1407397,0.001401004,-0.0006407436,0.8729663,0.449935,0.7925325,0.9850891,0.9951613
ocean pout,2.498434,0.07305478,-0.0287577,-0.03312616,0.137814,0.2324876,0.7331366,0.9455567,0.2917498,0.2296161
offshore hake,2.08585,0.06367869,0.009460344,-0.02613758,-0.02263627,0.4354419,0.5749283,0.988006,0.6911465,0.8244668
pollock,5.299354,-0.0691521,-0.1106238,-0.01200869,0.01248184,0.102077,0.6088172,0.7282375,0.7026253,0.8739888
red hake,0.2654251,0.08249797,0.0007227195,-0.06854959,0.06542705,0.9073727,0.3763448,0.9984465,0.006130207,0.0750724
rosette skate,0.6541983,0.03271386,0.05796558,-0.05951332,-0.04505471,0.7957842,0.8042579,0.9250676,0.1795356,0.1576576
scup,-1.258969,0.008425106,-0.1702701,-0.08513093,-0.1170925,0.6651445,0.979772,0.7417479,0.3497201,0.1680305
sea raven,0.7044967,-0.1490718,-0.1623825,0.01074045,0.0458993,0.5298476,0.5325631,0.6660574,0.61312,0.4390503
sea scallop,-0.5640851,-0.0102395,-0.1843648,-0.01879918,-0.009723083,0.2279245,0.9523588,0.7368717,0.6945889,0.9318406
silver hake,-2.156527,0.1066056,-0.02464261,-0.1083537,-0.05417722,0.3026675,0.2956053,0.9445001,0.005549161,0.1256103
smooth dogfish,-6.300035,-0.04553617,-0.3735719,0.0111157,0.02820079,0.2156755,0.8890011,0.3565823,0.950124,0.8298442
smooth skate,4.026543,-0.01750448,-0.1092108,-0.02647458,0.01976152,0.1759994,0.8222456,0.7683985,0.5367872,0.6723384
spiny dogfish,-1.855782,0.02318585,-0.1071435,-0.03814472,-0.05518103,0.3522939,0.8512284,0.7006953,0.7905341,0.7140412
spot,1.179361,0.05459376,-0.08464817,-0.1535621,-0.03978622,0.1294676,0.8415649,0.5748288,0.09907413,0.1387051
spotted hake,1.143749,-0.04989793,-0.1534011,-0.003072097,0.01099041,0.710281,0.6701294,0.7881048,0.9052836,0.6821768
striped bass,0.9018737,0.2685039,0.3119607,0.1164953,0.2029663,0.2919542,0.413959,0.4059613,0.5724386,0.4736769
summer flounder,0.63981,-0.01340373,-0.1965668,0.0124099,0.05322274,0.8078925,0.9578314,0.699987,0.8079715,0.3321331
tautog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
thorny skate,0.3495522,-0.03537227,-0.1389424,-0.03175255,0.04023735,0.8672541,0.6938536,0.6841586,0.3348094,0.4958208
tilefish,1.597908,0.05119554,0.3043438,0.02802263,0.06515692,0.2761964,0.7113061,0.7035817,0.3083458,0.5406064
weakfish,-4.946568,0.8258331,0.3392466,-0.01548005,-0.08795851,0.2578014,0.1121363,0.669768,0.9197359,0.592778
white hake,2.213033,-0.05717621,-0.00362936,-0.03240159,0.02545367,0.529627,0.2711691,0.9901279,0.1291474,0.4242734
winter flounder,-0.4633406,-0.1357965,-0.1604027,0.01532085,0.02989256,0.6475824,0.6537577,0.6949048,0.6551249,0.6096259
winter skate,6.225666,-0.02378001,-0.2409514,-0.02186458,0.04066828,0.1209875,0.931376,0.5602412,0.3326474,0.4044204
witch flounder,3.23718,-0.01896758,0.01234634,-0.05897662,-0.01604045,0.00888769,0.8243883,0.968715,0.04981024,0.6072524
yellowtail flounder,0.860677,-0.1494045,-0.1290544,-0.0190845,0.01248402,0.1157533,0.5946314,0.7737631,0.2077628,0.7003326
