"","Common Name","Season","slopeLat","slopeLon","pLat","pLon"
"1","acadian redfish","Spring",0.00364681591949697,-0.000916221695699583,0.0651080992817826,0.800338634926102
"2","acadian redfish","Fall",-0.00238078153009884,-0.00413833267713683,0.0688759104514799,0.170980967475043
"3","alewife","Spring",0.0486661698189712,0.0521170003588413,1.33103272370136e-22,1.05474389798782e-16
"4","alewife","Fall",0.00765252917180558,-0.00318452824240372,0.086460666303848,0.580050510956999
"5","american plaice","Spring",0.000420315862662008,-0.0120656688106383,0.744774317249622,8.5179145913306e-08
"6","american plaice","Fall",0.00167444356048821,-0.00180066303700483,0.215457812490117,0.416817335215132
"7","atlantic cod","Spring",0.00969633727614954,-0.01169618513996,2.70313913431955e-09,0.0402679230713117
"8","atlantic cod","Fall",0.0051703756805249,0.0070374318641811,0.0099375225491147,0.161267963558959
"9","atlantic croaker","Fall",0.0265508800928387,0.00572754375627272,9.61564355308497e-05,0.0201644448659191
"10","atlantic croaker","Spring",-0.0106138801519707,-0.0142659643125877,0.667681864191811,0.461935930561557
"11","atlantic herring","Spring",-0.00505119517713932,0.00089676077046597,0.365565115941605,0.909918064424147
"12","atlantic herring","Fall",-0.00424587163973119,0.0070976801846516,0.223640551573562,0.142391176667282
"13","atlantic mackerel","Spring",0.0309221101639833,0.0374202340123123,3.21316453873893e-07,0.000247894840950626
"14","atlantic mackerel","Fall",0.0202520561981827,0.0250959245082341,0.000100447804153321,0.00233351040228026
"15","atlantic sharpnose shark","Fall",-0.0196698929132332,0.0081415946935219,0.149385422295228,0.0794916599572634
"16","black sea bass","Spring",0.0528100816007498,0.0419890846867523,1.21209202997645e-25,9.12766908908865e-25
"17","black sea bass","Fall",0.0584746837758093,0.0469579165387907,1.30803660487498e-09,1.22883727754666e-06
"18","bluefish","Fall",0.00530065539416344,-0.0107649312236579,0.506947406091912,0.431325869135706
"19","bluefish","Spring",0.0194897079313927,0.00960996431834979,0.00167000851108258,0.00729284057765704
"20","butterfish","Spring",0.0144641915432961,0.022186422061805,0.0210757298806275,0.00786385165501243
"21","butterfish","Fall",0.00302291766016432,0.00675178596873162,0.671570803401885,0.373867345734391
"22","fawn cusk-eel","Spring",0.00172558298497189,0.00581846977259278,0.56253562416053,0.455866793235525
"23","fawn cusk-eel","Fall",-0.00575202525717498,0.00265867168802273,0.0543834996072391,0.729169761835184
"24","fourspot flounder","Spring",0.00116703267334629,0.0222268999382773,0.389951609380876,1.52670119632485e-06
"25","fourspot flounder","Fall",0.00524119957113641,0.0287467810996062,0.0158527841571543,3.74601305468005e-09
"26","goosefish","Spring",0.034650868408542,0.04542451888744,8.48839775569353e-06,5.47549095396445e-08
"27","goosefish","Fall",0.0103198882800116,0.0164861252238174,0.0057290420067723,0.000444206437395976
"28","gulf stream flounder","Spring",-0.00377230332973541,-0.010164022713374,0.144147846442216,0.118493146762399
"29","gulf stream flounder","Fall",0.00191674640533345,-0.000767881551498211,0.549270911191253,0.902235354522014
"30","haddock","Spring",-0.00175490602978872,-0.00542508095572283,0.298273483314588,0.22417778251551
"31","haddock","Fall",-0.00403550221482493,-0.00267459013502865,0.013894996667474,0.474309518129956
"32","little skate","Spring",-0.00417102967099756,-0.0153024667789372,0.00932813304754811,0.00360089578648395
"33","little skate","Fall",-0.00554489266223127,-0.0148053216892174,0.000217914939756055,0.0160637418603971
"34","longfin squid","Spring",-0.00831128919032231,-0.00880882369764642,0.0278461820753424,0.0927285951790251
"35","longfin squid","Fall",0.00893567129343006,0.0213591888702579,0.00121380450183632,2.03718409728816e-05
