"comname","est_year","season","COGy","COGx","slopeLat","slopeLon"
"acadian redfish",2010,"Spring",42.4066512622072,-68.9100260204698,0.0036468159194973,-0.000916221695699968
"acadian redfish",2011,"Spring",43.3270443732977,-68.1966782162365,0.0036468159194973,-0.000916221695699968
"acadian redfish",2012,"Spring",42.834048545279,-69.118466467006,0.0036468159194973,-0.000916221695699968
"acadian redfish",2013,"Spring",42.8900941244621,-68.1246385866684,0.0036468159194973,-0.000916221695699968
"acadian redfish",2014,"Spring",42.7373362503332,-68.3987197868587,0.0036468159194973,-0.000916221695699968
"acadian redfish",2015,"Spring",42.8298394279674,-67.9447132889789,0.0036468159194973,-0.000916221695699968
"acadian redfish",2016,"Spring",42.6378388493261,-68.334603387606,0.0036468159194973,-0.000916221695699968
"acadian redfish",2017,"Spring",43.180127997192,-68.1010978275316,0.0036468159194973,-0.000916221695699968
"acadian redfish",2018,"Spring",42.6926293065448,-68.2790579671118,0.0036468159194973,-0.000916221695699968
"acadian redfish",2019,"Spring",42.7909170809389,-68.7016576226531,0.0036468159194973,-0.000916221695699968
"acadian redfish",2010,"Fall",42.7317641185867,-68.9682759745305,-0.00238078153009878,-0.00413833267713698
"acadian redfish",2011,"Fall",43.0608374394781,-68.7273855048572,-0.00238078153009878,-0.00413833267713698
"acadian redfish",2012,"Fall",42.6179736242922,-68.8044770300278,-0.00238078153009878,-0.00413833267713698
"acadian redfish",2013,"Fall",42.889281496611,-68.151896241186,-0.00238078153009878,-0.00413833267713698
"acadian redfish",2014,"Fall",42.946996326729,-68.4870185202315,-0.00238078153009878,-0.00413833267713698
"acadian redfish",2015,"Fall",43.0908265678892,-67.9418518087639,-0.00238078153009878,-0.00413833267713698
"acadian redfish",2016,"Fall",43.0025335959396,-68.2945756787135,-0.00238078153009878,-0.00413833267713698
"acadian redfish",2017,"Fall",42.8134640339154,-68.7068822119212,-0.00238078153009878,-0.00413833267713698
"acadian redfish",2018,"Fall",42.6253845821984,-68.3492268275174,-0.00238078153009878,-0.00413833267713698
"acadian redfish",2019,"Fall",42.8997231612228,-69.1277392864722,-0.00238078153009878,-0.00413833267713698
"alewife",2010,"Spring",42.9449393760377,-68.2057047093071,0.0486661698189712,0.0521170003588411
"alewife",2011,"Spring",42.2319925921789,-69.6285419675323,0.0486661698189712,0.0521170003588411
