"comname","est_year","season","COGy","COGx","slopeLat","slopeLon"
"acadian redfish",1970,"Spring",42.4988771848196,-68.4218768660839,0.0036468159194973,-0.000916221695699968
"acadian redfish",1971,"Spring",42.6687721686244,-68.3888484092712,0.0036468159194973,-0.000916221695699968
"acadian redfish",1972,"Spring",42.2204682078186,-68.8116433314188,0.0036468159194973,-0.000916221695699968
"acadian redfish",1973,"Spring",42.5907386965063,-68.4846477667852,0.0036468159194973,-0.000916221695699968
"acadian redfish",1974,"Spring",42.3970670391066,-68.528295325839,0.0036468159194973,-0.000916221695699968
"acadian redfish",1975,"Spring",42.233020083545,-67.1546483786204,0.0036468159194973,-0.000916221695699968
"acadian redfish",1976,"Spring",42.6445077354252,-68.5267047161694,0.0036468159194973,-0.000916221695699968
"acadian redfish",1977,"Spring",42.8273437170323,-69.4806685010145,0.0036468159194973,-0.000916221695699968
"acadian redfish",1978,"Spring",42.6628051767813,-68.7871305653656,0.0036468159194973,-0.000916221695699968
"acadian redfish",1979,"Spring",42.8666988997134,-68.5080937634367,0.0036468159194973,-0.000916221695699968
"acadian redfish",1980,"Spring",42.4687190084885,-68.9807227402972,0.0036468159194973,-0.000916221695699968
"acadian redfish",1981,"Spring",43.4370983637874,-68.1557291959262,0.0036468159194973,-0.000916221695699968
"acadian redfish",1982,"Spring",42.7533869900394,-68.5670948841378,0.0036468159194973,-0.000916221695699968
"acadian redfish",1983,"Spring",42.8125492893647,-68.201290734467,0.0036468159194973,-0.000916221695699968
"acadian redfish",1984,"Spring",42.6364354291712,-68.8511766691095,0.0036468159194973,-0.000916221695699968
"acadian redfish",1985,"Spring",42.8467108868272,-67.9029892941747,0.0036468159194973,-0.000916221695699968
"acadian redfish",1986,"Spring",43.2706445869487,-67.7687294933394,0.0036468159194973,-0.000916221695699968
"acadian redfish",1987,"Spring",42.698599169868,-67.5683956964818,0.0036468159194973,-0.000916221695699968
"acadian redfish",1988,"Spring",43.3801367427117,-67.6278640182279,0.0036468159194973,-0.000916221695699968
"acadian redfish",1989,"Spring",42.8317077371935,-68.1513411381253,0.0036468159194973,-0.000916221695699968
"acadian redfish",1990,"Spring",42.9491521543039,-67.633128222271,0.0036468159194973,-0.000916221695699968
"acadian redfish",1991,"Spring",42.7826929256198,-67.3300339934259,0.0036468159194973,-0.000916221695699968
"acadian redfish",1992,"Spring",43.0981211305768,-68.0753620643265,0.0036468159194973,-0.000916221695699968
"acadian redfish",1993,"Spring",42.7423996962957,-67.97720739928,0.0036468159194973,-0.000916221695699968
"acadian redfish",1994,"Spring",42.1812088759324,-69.1896421381126,0.0036468159194973,-0.000916221695699968
"acadian redfish",1995,"Spring",43.3881953004748,-67.5189450910385,0.0036468159194973,-0.000916221695699968
"acadian redfish",1996,"Spring",43.1339939390787,-67.5473072570895,0.0036468159194973,-0.000916221695699968
"acadian redfish",1997,"Spring",42.7425536619575,-69.4739387888245,0.0036468159194973,-0.000916221695699968
"acadian redfish",1998,"Spring",42.4930205805205,-68.6483872855822,0.0036468159194973,-0.000916221695699968
"acadian redfish",1999,"Spring",42.6880223289179,-68.3352606972111,0.0036468159194973,-0.000916221695699968
"acadian redfish",2000,"Spring",42.6347080437756,-68.57405588106,0.0036468159194973,-0.000916221695699968
"acadian redfish",2001,"Spring",42.5553900252081,-68.38247173834,0.0036468159194973,-0.000916221695699968
"acadian redfish",2002,"Spring",42.8220294864814,-68.1534739923077,0.0036468159194973,-0.000916221695699968
"acadian redfish",2003,"Spring",42.7371781871051,-68.9226057642342,0.0036468159194973,-0.000916221695699968
"acadian redfish",2004,"Spring",42.5798740213062,-69.0355506793456,0.0036468159194973,-0.000916221695699968
"acadian redfish",2005,"Spring",42.9712098585728,-68.2260993346777,0.0036468159194973,-0.000916221695699968
"acadian redfish",2006,"Spring",42.8770937189963,-68.2356528402989,0.0036468159194973,-0.000916221695699968
"acadian redfish",2007,"Spring",42.6922747262597,-68.8033622529167,0.0036468159194973,-0.000916221695699968
"acadian redfish",2008,"Spring",42.5468522033474,-68.2705839112095,0.0036468159194973,-0.000916221695699968
"acadian redfish",1970,"Fall",43.0895884820101,-68.5477545948069,-0.00238078153009878,-0.00413833267713698
"acadian redfish",1971,"Fall",43.075127879171,-68.4087352234672,-0.00238078153009878,-0.00413833267713698
"acadian redfish",1972,"Fall",42.9326813546042,-68.403164181737,-0.00238078153009878,-0.00413833267713698
"acadian redfish",1973,"Fall",42.8678112812407,-68.776324946709,-0.00238078153009878,-0.00413833267713698
"acadian redfish",1974,"Fall",42.9153400548158,-68.2096782145388,-0.00238078153009878,-0.00413833267713698
"acadian redfish",1975,"Fall",43.1401508263241,-68.2690590385376,-0.00238078153009878,-0.00413833267713698
"acadian redfish",1976,"Fall",43.3507974400402,-67.8035999459589,-0.00238078153009878,-0.00413833267713698
"acadian redfish",1977,"Fall",42.6999020098939,-69.0426473170318,-0.00238078153009878,-0.00413833267713698
"acadian redfish",1978,"Fall",42.7321648380823,-68.6678259053914,-0.00238078153009878,-0.00413833267713698
"acadian redfish",1979,"Fall",42.3887922529516,-68.6427909716548,-0.00238078153009878,-0.00413833267713698
"acadian redfish",1980,"Fall",42.7404932925078,-68.1237680990869,-0.00238078153009878,-0.00413833267713698
"acadian redfish",1981,"Fall",42.8168568950695,-68.322145398278,-0.00238078153009878,-0.00413833267713698
"acadian redfish",1982,"Fall",42.7804904841053,-68.9177678246434,-0.00238078153009878,-0.00413833267713698
